,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t7339,8.926714,101.8259,2309.227,101.8259,2309.227,235.2813035,4609.899902,62617
t7340,10.62554,0,2173.084,0,2173.084,234.6232533,4661.654785,60785
t7341,10.6186,0,168.0204,0,168.0204,234.0023816,4504.797363,57146
t7342,9.760524,0,0,0,0,233.4367633,4577.477051,53551
t7343,8.799068,0,0,0,0,226.9915938,3943.492432,50297
t7344,8.304116,0,0,0,0,220.6760347,3756.498047,45805
t7345,7.983455,0,0,0,0,214.3604755,3876.430176,42760
t7346,7.810377,0,0,0,0,211.8137181,3566.366943,40996
t7347,7.703732,0,0,0,0,209.2669457,2913.57959,40335
t7348,7.624673,0,0,0,0,206.7201883,3312.530029,40905
t7349,7.621842,0,0,0,0,203.6996633,4265.552734,42488
t7350,7.660793,0,335.162,0,335.162,200.6791532,4883.71875,45701
t7351,7.847033,211.1229,0,211.1229,0,197.6586282,5000,53499
t7352,7.785203,1047.473,110.3831,1047.473,110.3831,207.6174766,5000,58859
t7353,8.076186,1903.132,124.9283,1903.132,124.9283,209.8966539,5000,60475
t7354,8.52972,2863.683,206.2624,2863.683,206.2624,211.9499892,5000,60337
t7355,8.604145,3689.844,177.6909,3689.844,177.6909,217.0997113,5000,61603
t7356,9.049808,3228.598,940.96,3228.598,940.96,222.2494334,5000,62297
t7357,8.168948,3301.394,2003.465,3301.394,2003.465,227.3991704,5000,61190
t7358,8.876275,4309.334,4500,4309.334,4500,227.4024189,5000,60303
t7359,8.524643,3428.166,4500,3428.166,4500,227.4056822,5000,58979
t7360,8.58862,2515.567,3849.115,2515.567,3849.115,227.4089456,4785.663086,58603
t7361,8.831283,1588.503,2978.795,1588.503,2978.795,229.1961461,4101.080566,58789
t7362,8.864458,866.9458,4442.139,866.9458,4442.139,230.9038043,3870.402344,62618
t7363,9.139382,70.33068,4054.642,70.33068,4054.642,232.6114774,4215.979492,62783
t7364,11.21004,0,3324.423,0,3324.423,229.8318446,4535.815918,61184
t7365,11.11281,0,1246.499,0,1246.499,226.8371582,5000,57310
t7366,10.75704,0,4365.875,0,4365.875,223.8424718,5000,53633
t7367,9.599409,0,900.518,0,900.518,221.0267633,4145.906738,50456
t7368,8.69669,0,229.5105,0,229.5105,218.2110548,3835.676025,46158
t7369,8.246917,0,240.7304,0,240.7304,215.3953314,3328.791016,43110
t7370,8.028374,0,149.8433,0,149.8433,213.6322707,3194.109131,41516
